Question,Answer,Wrong1,Wrong2,Wrong3
" 'At my age, it's embarrassing to say so, but every day I feel so alive'",Shall We Dance,Robin Hood Prince of Thieves,Waiting For Guffman,"Planes, Trains, And Automobiles"
 'Whoah!!!!',Scent of A Woman,Animal House,The Doors,Braveheart
 'I don't know. It's a mystery',Shakespeare In Love,Manhattan,True Romance,Dangerous Liasions
" John gave me a picture of you once. It was very old, faded, torn. I always wondered what it was you were thinking",Terminator,Can't Hardly Wait,Tommy Boy,Grosse Point Blank
" 'This place is fantastic, it's like 'Gone with the Wind' on mescaline. They walk imaginary pets here, Garland on a f'ing leash. And they're all heavily armed and drunk. New York is boring!'",Midnight in the Garden of Good and Evil,Under Siege,Life of Brian,Mosquito Coast
 'I'm Sailing!',What About Bob,Pretty Woman,Going In Style,Amadeus
 1987 - 'I carried a watermelon',Dirty Dancing,Army of Darkness,Happy Gilmore,A Fish Called Wanda
 'Do you know what we do in Russia to keep warm' 'Oh I can guess baby' 'We play chess' 'I guessed wrong'',Austin Powers: The Spy Who Shagged Me,As Good As It Gets,Blade Runner,Pretty Woman
" 'I have a telegram for a Dr. Loveless. It's from his mother, Irene. She's telling him to come on home, stop all this foolishness'",Wild Wild West,Ferris Beuller's Day Off,In The Heat of the Night,Ghostbusters
 1972 - 'Why do you go on these trips with me',Deliverance,Throw Momma From The Train,Bachelor Party,City Slickers
" 'Oh my God, the quarterback is toast'",Die Hard,The Longest Yard,Summer of '42',Cool Hand Luke
 'Try a little tenderness',Pretty In Pink,10 Things I Hate About You,Tootsie,Blade Runner
 1992 - 'You think I'm hostile now Wait 'til you see me tonight',My Cousin Vinny,Dead Poet's Society,Chet,The Empire Strikes Back
" 'Back off, Man. I'm a scientist'",Ghostbusters,My Best Friend's Wedding,Glory Daze,Independence Day
" 'You're in charge of the world, now. Don't be such a sore winner!'",Canadian Bacon,Oh God!,Bruce Almighty,18 Again
 'Swear on your Mother's good name Even if she goes to hell because you lied',Stand By Me,On The Waterfront,Of Mice And Men,Office Space
 'I'm beginning to feel like a potted plant',Crash,City Slickers,The Mask,Crimes And Misdemeanors
 'It's like riding a psychotic horse towards a burning stable!',The Birdcage,Copycat,The NeverEnding Story,Robin Hood Prince of Thieves
 'Can sombody get this kid a happy meal!',Big Daddy,Meet Joe Black,Taxi Driver,The Talented Mr. Ripley
 Preacher: 'You may kiss the bride',In And Out,Clerks,Being John Malkovitch,Spaceballs
 1989 - 'I'll have what she's having',When Harry Met Sally,The Negotiator,Star Trek IV: The Voyage Home,Pinky and the Brain
" 'Monday, Tuesday, Thursday, Wednesday'",Godfather,Beetlejuice,Young Frankenstein,Forrest Gump
" 'You're legally allowed to drink now, so we figured the best thing for you was a car'",Good Will Hunting,Bill And Ted's Excellent Adventure,National Lampoon's Vacation,Dead Poets' Society
 'Have you ever gotten the Aunt Jemima treatment',Stripes,Neverending Story,Armaggedon,The American President
 'Goodwill toward men... and women',Batman Returns,Grease,Shanghai Noon,As Good As It Gets
" 1977 - 'Honey, there's a spider in your bathroom the size of a Buick'",Annie Hall,Field of Dreams,Speed,Orange County
" 1942 - 'Play it, Sam... Play 'As Time Goes By''",Casablanca,The Shawshank Redemption,The Shining,Smokey and the Bandit
" 'The whole world was created in a week... a week!' 'Someday, you'll have to tell me how you did it'",1776,Nothing To Lose,Lion King,Dumb And Dumber
 'Take me to bed or lose me forever',Top Gun,Rocky Horror Picture Show,A Fish Called Wanda,Natural Born Killers
" 'I'm a big, bright, shining star'",Boogie Nights,Full Metal Jacket,Citizen Kane,Heathers
" 'It's a Zen thing, like how many babies fit in a tire'",Waiting For Guffman,Showdown In Little Tokyo,When Harry Met Sally,Billy Madison
 'A Black Sheriff!?!',Blazing Saddles,The American President,Back To School,The Client
 'How many of you people know you're alive',The Doors,Star Wars: Episode 1 The Phantom Menace,Hairspray,Willie Wonka and the Chocolate Factory
 '@#^! put it in your purse!' 'NO!!!',True Romance,The Haunting,Rocky Horror,Airplane
 'Chicks dig me because I rarely wear underwear and when I do it's usually something unusual' 1981,Stripes,Grosse Point Blank,The Wedding Singer,The Princess Bride
" 'Life is like a box of chocolates, you never know what your going to get'",Forrest Gump,Office Space,Blair Witch Project,Rocky Horror
 'Every time I drive down the street I wanna jerk the wheel into a goddamn bridge imbunkment!',Tommy Boy,Amadeus,Major League,Animal House
 'Blessed are the cheesemakers',Life of Brian,Lake Placid,The Client,Julian
" 1979 - 'And besides, no tinhorn joint like this could ever hold me'",Going In Style,Rain Man,"Six Days, Seven Nights",Rod
 'Hell no! Damn aligator bit my hand off!',Happy Gilmore,To Kill A Mockingbird,Pretty In Pink,Scream
 'Too bad she won't live! But then again who does',Blade Runner,SLC Punk,Moonstruck,Airplane!
" 'Always time to dream, so keep on dreamin''",Pretty Woman,Shall We Dance,The Sandlot,The Unbearable Lightness of Being
 'I have two guns...one for each of you',Tombstone,Scent of A Woman,Ever After,Scarface
 1967 - 'They call me... Mister Tibbs!',In The Heat of the Night,Shakespeare In Love,Big Chill,Clueless
" 'Ive got on cowboy boots' 'Oh yeah, you blend'",My Cousin Vinny,Terminator,Gladiator,Star Wars: Episode 1 The Phantom Menace
" 'Some people, that's their story, good times, noodle salad..'",As Good As It Gets,Midnight in the Garden of Good and Evil,Natural Born Killers,Shall We Dance
" 'I hope you like potato salad, it's chunky style, my favorite'",Bachelor Party,Austin Powers: The Spy Who Shagged Me,The Maltese Falcon,Dangerous Beauty
 'Searching for a boy in high school is like searching for meaning in a Pauly Shore movie',Clueless,Wild Wild West,The Naked Gun,Full Metal Jacket
 'There is no spoon',The Matrix,Deliverance,Todd,Good Will Hunting
 1971 - 'I would never see her again. Nor would I learn what became of her',Summer of '42,Die Hard,American History X,Bill And Ted's Excellent Adventure
" 1982 - 'You were a ""tomato""! A tomato doesn't have logic! A tomato can't move!'",Tootsie,Canadian Bacon,Steel Magnolias,St. Elmo's Fire
 Name the character (or actor) in Weird Science who said: 'the boozehounds return!',Chet,Brian,Tommy,Doc
" 'It is poetry that will save the world, not commerce'",Glory Daze,The Birdcage,Armageddon,Raising Arizona
 'Aaalrighty Then!',Ace Ventura: Pet Detective,Big Daddy,"History of the World, Part I",Drop Dead Gorgeous
 'Can I tend the rabbits George',Of Mice And Men,In And Out,St. Elmo's Fire,Gladiator
 Stanley: 'Smokin'!',The Mask,Godfather,Willie Wonka and the Chocolate Factory,True Lies
" 1984 - 'She's not that kind of girl, Booger'",Revenge of the Nerds,Batman Returns,Duck Soup,Caddyshack
 'It's my island!',Braveheart,Annie Hall,Animal House,Nim's Island
 'That can't be possible! It's only a story!',The NeverEnding Story,1776,Manhattan,Waiting For Guffman
 1976 - 'You talkin' to me?',Taxi Driver,Top Gun,Can't Hardly Wait,Flatliners
" 'Hot lesbian witches Ouch, that's hot!'",Being John Malkovitch,Boogie Nights,Under Siege,Wayne's World
 'You're standing in your pizza..',Thelma And Louise,Waiting For Guffman,Pretty Woman,Top Gun
" 'Zed's dead baby, Zed's dead'",Pulp Fiction,The Doors,Army of Darkness,Major League
 'Let's see what she's got',Star Trek IV: The Voyage Home,True Romance,As Good As It Gets,The Godfather
 1974 - 'What knockers!',Young Frankenstein,Tommy Boy,Ferris Beuller's Day Off,Field of Dreams
 'Adrian!!!',Rocky,Life of Brian,Throw Momma From The Train,My Best Friend's Wedding
" 'No, but my dad does. Can't sit on the toilet some days'",National Lampoon's Vacation,Going In Style,Star Wars: Episode I The Phantom Menace,Aliens
 1996 - 'Show me the money',Jerry Maguire,Happy Gilmore,10 Things I Hate About You,Raiders of the Lost Ark
" 'It means Captain America here, landed us on a huge iron plate!'",Armaggedon,Blade Runner,Dead Poet's Society,Annie
 It seems that destiny has taken a hand,Casablanca,In The Heat of the Night,My Best Friend's Wedding,Total Recall
" 'Gee, you'd think they'd have the parking lot of America for the Mall of America'",Drop Dead Gorgeous,Bachelor Party,Butch Cassidy and the Sundance Kid,Canadian Bacon
" 'I might not know kirate, but I sure do know currrrrrrazy!'",Shanghai Noon,Summer of '42',On The Waterfront,A Streetcar Named Desire
 1969 - 'I can't swim',Butch Cassidy and the Sundance Kid,Tootsie,City Slickers,Lion King
 'Stay on or get off!!',Speed,Chet,Copycat,Shakespeare In Love
 'Wendy....I'm home!',The Shining,Glory Daze,Meet Joe Black,Beetlejuice
 'Talk about your real fixer-upper',Lion King,Ace Ventura: Pet Detective,Clerks,Up In Smoke
 'Don't call me stupid!',A Fish Called Wanda,Of Mice And Men,The Negotiator,Ever After
 1941 - 'Rosebud...',Citizen Kane,The Mask,Beetlejuice,Under Siege
 'She's as harmless as one of those stuffed birds',Psycho,The NeverEnding Story,Bill And Ted's Excellent Adventure,Se7en
 'What in the wide wide world of sports is going on here',Blazing Saddles,Taxi Driver,Neverending Story,National Lampoon's Family Vacation
 'There is too much pepper in my paprikash',When Harry Met Sally,Being John Malkovitch,Grease,Young Frankenstein
 'Id like to tame her shrew!!!',Back To School,Star Trek IV: The Voyage Home,Field of Dreams,Back to the Future
" 'Penny Pingleton, you knew you were punished! From now on you are wearing a giant 'P' on your blouse every day to school so that the whole world knows that Penny Pingleton is Permanently, Positively Punished!'",Hairspray,Young Frankenstein,The Shawshank Redemption,Reality Bites
 'You complete me' Was said by this actor in 'Jerry Maguire',Tom Cruise,National Lampoon's Vacation,Cuba Gooding Jr.,Tommy Boy
 'I see you shiver with antici........pation',Rocky Horror,Armaggedon,Rocky Horror Picture Show,National Lampoon's Vacation
 'Now take off my Van Halen shirt before you jinx the band and theybreak up',The Wedding Singer,Shanghai Noon,Full Metal Jacket,Sleepless In Seattle
 'There's no baby out there!' (there was a tent involved),Blair Witch Project,Speed,Showdown In Little Tokyo,Back To The Future
 'I look like a banker in this',Major League,The Shining,Crimes And Misdemeanors,Austin Powers: The Spy Who Shagged Me
 'Nobody puts Baby in a corner',Dirty Dancing,Lion King,Mosquito Coast,What About Bob
" 'Where are your parents? Where are yours? Are you even injured? Do I look injured? Well we only do injuries. Well, I'll just go get hit by a truck and come back!'",The Client,A Fish Called Wanda,Drop Dead Gorgeous,True Romance
" 'Aren't you one of those guys...Those guy guys, those guys with skills...You leave them out in the wilderness with a pocketknife and a Qtip and they build you a shopping mall. You can't do that'","Six Days, Seven Nights",Citizen Kane,Rod,Unforgiven
 (Sniffs under arms) 'Do I offend?',Pretty In Pink,When Harry Met Sally,Flashdance,Taxi Driver
 'You got a love bite on your neck! Your life's going down the toilet!',Moonstruck,Back To School,George of the Jungle,Die Hard
" 'Heroes get remembered, but legends never die. Follow your heart kid, and you'll never go wrong'",The Sandlot,Hairspray,Pulp Fiction,Revenge of the Nerds
 'I'd rather die a thousand deaths than to see my mother's dress on that spoiled selfish cow!',Ever After,Rocky Horror,Stripes,Trading Places
" 'Alex and I made love the night before he died, It was FANTASTIC!' Reply: 'He went out with a bang, not a whimper'",Big Chill,The Wedding Singer,Mrs. Winterbourne,Pretty In Pink
" 'As pure a maid as the driven snow, I'm sure'",Tombstone,Blair Witch Project,Braveheart,"History of the World, Part I"
" 2000 - 'We, who are about to die, salute you'",Gladiator,Major League,Tom Cruise,Going In Style
 'You ain't seen nothin' yet..',Natural Born Killers,The Client,Annie,The Philadelphia Story
 'Look at me. Jerking off in the shower. This will be the highlightof my day',American Beauty,Drop Dead Gorgeous,A Streetcar Named Desire,Twister
" 'The, uh... stuff that dreams are made of'",The Maltese Falcon,Rod,Flatliners,Casablanca
" 'Hey, that's Enrico Pallazo!'",The Naked Gun,Flashdance,The Unbearable Lightness of Being,Shanghai Noon
 1942 - 'Round up the usual suspects',Casablanca,George of the Jungle,Trading Places,In And Out
 Which character in 'Go' quotes lines from 'The Breakfast Club',Todd,Mannie,Claire,Burke
" 'If I had testified, it would have been for life'",American History X,Stripes,Blazing Saddles,The Nutty Professor
 'You are evil and you must be destroyed',Steel Magnolias,Mrs. Winterbourne,Romy And Michelle's High School Reunion,Independence Day
 'How many times have I told you that green is not your colour',"Adventures of Priscilla, Queen of the Desert",Braveheart,Peter,Thelma And Louise
 'You see this button! I don't know what that does!!',Armageddon,Tom Cruise,Stand By Me,Crocodile Dundee
 1981 - 'It's good to be the king!',"History of the World, Part I",Annie,French Kiss,Me Myself And Irene
 'He slimed me',Ghostbusters,A Streetcar Named Desire,Raiders of the Lost Ark,Liar Liar
" 'Boogada Boogada Boogada, HAH HAH HAH!!!!!!!!'",St. Elmo's Fire,Flatliners,The Empire Strikes Back,Steel Magnolias
" 'There is no, place I know, like the world of pure imagination!'",Willie Wonka and the Chocolate Factory,The Unbearable Lightness of Being,Sling Blade,Peter
" 'We're fighting for this woman's honor, which is more than she ever did'",Duck Soup,Trading Places,Little Shop of Horrors,The Shining
" 'It's beautiful: Pigeons fly, women fall from the sky! I'm moving here!'",Life Is Beautiful,Home Alone,Poltergeist,Rocky
 'He's my brother',Return of the Jedi,Blazing Saddles,Band of Brothers,Ghost
 'Nothing has turned out as we expected! It never does. Life's under no obligation to give us what we expect. We take what we get and are thankful it's no worse than it is',Gone With The Wind,Romy And Michelle's High School Reunion,A League of Their Own,Nothing To Lose
" 'Garth, marriage is punishment for shoplifting in some countries'",Wayne's World,Peter,Chasing Amy,The Rock
" 'Get out of it, we waste good celebration time'",Robin Hood Prince of Thieves,Stand By Me,The Green Mile,Urban Cowboy
" 'Pork, I anticipate a deeply religous experience'",Animal House,French Kiss,Julian,The Shawshank Redemption
" 'I wouldn't go so far as to call the brother fat. He's got a weight problem. What's the nigger gonna do, he's Samoan'",Pulp Fiction,Raiders of the Lost Ark,Psycho,French Kiss
" 'I think people should mate for life, like pigeons or Catholics'",Manhattan,The Talented Mr. Ripley,Network,Showdown In Little Tokyo
" 'Yo, I gotsta have sex tonight!'",Can't Hardly Wait,The Empire Strikes Back,Dirty Dancing,Apollo 13
" 1992 - 'Yeah, well... I also cook'",Under Siege,Sling Blade,Monty Python and the Holy Grail,Dirty Dancing
 'Barney! Ummm...I've got a little problem',Pretty Woman,Little Shop of Horrors,Labyrinth,2001: A Space Odyssey
" 'Good, bad, I'm the guy with the gun'",Army of Darkness,Poltergeist,Smokey and the Bandit,Jaws
" 'How do you write women so well' 'I think of a man, then I take away reason and accountability'",As Good As It Gets,Independence Day,Titanic,Postcards From The Edge
" 'Cameron is so tight if you stuck a lump of coal up his ass, in two weeks you'd have a diamond'",Ferris Beuller's Day Off,A League of Their Own,The Big Lebowski,Playing By Heart
 'Owen!!!!!!!!!',Throw Momma From The Train,Chasing Amy,Up In Smoke,Jerry Maguire
 'He's licking the glass and making obscene gestures with his hands',Ferris Bueller's Day Off,The Green Mile,Pinky and the Brain,Pulp Fiction
 1999 - 'There's always a bigger fish',Star Wars: Episode I The Phantom Menace,Julian,Postcards From The Edge,The Wedding Singer
" 'Maybe if we were the last two people on Earth, and there were no sheep. Are there sheep!'",10 Things I Hate About You,Psycho,Godzilla,Beavis And Butthead Do America
 'We don't read and write poetry because it's cute. We read and write poetry because we are members of the human race',Dead Poet's Society,Network,28 Days,Rocky Horror Picture Show
" (frantic) 'I'm a busy girl, I've got exactly four days to break up a wedding, steal the bride's fella, and I haven't one clue how to do it!'",My Best Friend's Wedding,Dirty Dancing,Unforgiven,Mrs. Winterbourne
 'Have you ever robbed a bank' 'No' 'Have you ever climbed Mount Everest' 'No' 'Have you ever said that you can see why women find Sean Connery sexy' 'NOOOOOOOOOOOOOOOOOOOOOOOOOO',Dirty Work,Monty Python and the Holy Grail,Airplane!,One Flew Over The Cuckoo's Nest
 1969 - 'Who are those guys',Butch Cassidy and the Sundance Kid,Labyrinth,Dead Poets' Society,2001 A Space Odyssey
" 'You don't understand. I coulda had class. I coulda been a contender. I coulda been somebody, instead of a bum, which is what I am' 1954",On The Waterfront,Smokey and the Bandit,Urban Cowboy,Summer of '42'
 Mitch: 'Let's go home',City Slickers,Titanic,Point Break,Ace Ventura: Pet Detective
" 'Frankly my dear, I don't give a damn'",Gone With The Wind,The Big Lebowski,Crocodile Dundee,When Harry Met Sally
 'Does she do this wideeyed little girl routine a lot' (all the time) 'Does it work',Copycat,Up In Smoke,Scary Movie,Stand By Me
 1995 - 'The trouble with Scotland is that it's full of Scots',Braveheart,Pinky and the Brain,Get Shorty,Space Balls
 'Mmmm... peanut butter',Meet Joe Black,Postcards From The Edge,Billy Madison,Armaggedon
 'I wasn't even suppose to be here today!',Clerks,Godzilla,Orange County,Big Daddy
 'You want my blood!',The Negotiator,28 Days,Lock Stock And Two Smoking Barrells,Scent of A Woman
" 'I'm the ghost with the most, babe' What character is famous for this oneliner ( Hint:The character and movie title are the same)",Beetlejuice,Batman,Dave,Ted
" 'I do wish we could chat longer, but I'm having an old friend for dinner'",Silence of the Lambs,Airplane!,Goodfellas,Home Alone
 'Be excellent to each other and party on!',Bill And Ted's Excellent Adventure,Dead Poets' Society,Scream,The Green Mile
 'These look like big strong hands',Neverending Story,Urban Cowboy,Heathers,American Beauty
 'Are you making fun of me Riz',Grease,Point Break,Toy Story,Ferris Beuller's Day Off
 'Oh sexy girlfriend',Sixteen Candles,Crocodile Dundee,The Matrix,Mrs Doubtfire
" 1989 - 'Oh people will come, Ray. People will most definitely come'",Field of Dreams,Scary Movie,All The President's Men,Three Amigos
" 'Since I am innocent of this crime, I find it decidedly INCONVENIENT that the gun was never found'",The Shawshank Redemption,Get Shorty,Ferris Bueller's Day Off,The Doors
 'There's a spider on your head',Nothing To Lose,Billy Madison,Apollo 13,10 Things I Hate About You
 'Why don't you come up to my lab and see what's on the slab',Rocky Horror Picture Show,Orange County,What About Bob,Wild Wild West
 1987 - 'A day without blood is like a day without sunshine',Full Metal Jacket,Lock Stock And Two Smoking Barrells,Dances With Wolves,Being John Malkovitch
" 'We're gunna nail this guy, and after we do we're gunna eat fish of those nakid chicks'",Showdown In Little Tokyo,Broken Arrow,A Christmas Story,Tootsie
" 'He doesn't want to exchange ideas, he wants to exchange fluids'",Crimes And Misdemeanors,Goodfellas,Dazed And Confused,Scary Movie
 'My father was an inventor',Mosquito Coast,Scream,Dirty Work,Poltergeist
 'You know very well that the babysitter's dead',Drop Dead Gorgeous,Heathers,The Terminator,Rain Man
" Name the character in 'Jerry Maguire' that said: 'You are my ambassador of quan, man'",Rod,Jerry,Frank,Bob
" '...I never got it, I never let it in'",Titanic,The Matrix,Se7en,Star Wars
" 1983 - 'When you let go of your dream, you die'",Flashdance,All The President's Men,The Nutty Professor,Romy And Michelle's High School Reunion
 'Fresh breath is the priority of my life',Sixteen Candles,Ferris Bueller's Day Off,Star Wars,Blair Witch Project
 'Ursula...I found your schrunchi!',George of the Jungle,Apollo 13,The Godfather,Batman
" 'Oh, I'm sorry. Did I break your concentration'",Pulp Fiction,What About Bob,Ghostbusters,Get Shorty
" No, I don't think I will kiss you, although you need kissing, badly. That's what's wrong with you! You should be kissed and often, and by someone who knows how",Gone With The Wind,Dances With Wolves,Dirty Work,28 Days
" 'Thats a fact, Jack!'",Stripes,A Christmas Story,Twister,The Sixth Sense
" 'Don't answer now, say yes tomorrow'",Mrs. Winterbourne,Dazed And Confused,The Exorcist,Real Genius
 'Who is this who speaks to me as if I needed his advice',Braveheart,Dirty Work,Casablanca,The Exorcist
" 'Son, you will ALWAYS be my little tick-turd'",Smokey and the Bandit,The Terminator,Raising Arizona,Life of Brian
" 'For my will is as strong as yours, and my kingdom is as great. You have no power over me'",Labyrinth,Scarface,Clueless,Ferris Bueller's Day Off
 Name the actor: 'Show me the money!',Tom Cruise,Se7en,Sixteen Candles,Broken Arrow
" 'Oh my goodness, oh my goodness'",Annie,The Nutty Professor,Sliding Doors,A League of Their Own
 'Stella!',A Streetcar Named Desire,Star Wars,Dumb And Dumber,Clerks
" 'You see us as a brain,, an athlete, a basketcase, a princess, and a criminal'",The Breakfast Club,The Godfather,Jerry Maguire,Dances With Wolves
" 'Death Therapy, Bob. It's a guaranteed cure'",What About Bob,Jaws,Men In Black,Legends of the Fall
 Hammond: 'So have I',Jurassic Park,"Planes, Trains, And Automobiles",Batman,Neverending Story
" 'Well, you can live off of it... but it tastes like sh-t'",Crocodile Dundee,One Flew Over The Cuckoo's Nest,Dangerous Liasions,Labyrinth
 'Today's a good day to die',Flatliners,Star Trek: Nemesis,Reality Bites,In The Heat of the Night
" 'There's only one thing, he doesn't like my hat'",The Unbearable Lightness of Being,Gone With The Wind,Breakfast Club,Batman Forever
" 'It's not luck, Todd'",Trading Places,Twister,Batman Forever,The Matrix
 'You guys give up yet or are you thirsty for more?',Home Alone,The Exorcist,Legends of the Fall,Butch Cassidy and the Sundance Kid
 'Where the white woman at',Blazing Saddles,Casablanca,Dracula,1776
" 'They're ""Here""'",Poltergeist,Raising Arizona,Back To The Future,The Sandlot
 'Well....I hope all your babies look like monkeys!',Romy And Michelle's High School Reunion,Clueless,Dogma,Happy Gilmore
 'Normally you don't see that kind of behavior from a major appliance' What character said this in the movie 'Ghostbusters',Peter,Raymond,Egon,Louis
" 'Looney, looney, looney'",Stand By Me,Sliding Doors,2001 A Space Odyssey,Armageddon
" Kate: 'Beautiful, Gorgeous, Wish you were here!'",French Kiss,Dumb And Dumber,Good Will Hunting,Life Is Beautiful
" 'Well, I know what I've got here. Come on: buy you a drink... you know, a drink'",Raiders of the Lost Ark,Jerry Maguire,Real Genius,Sixteen Candles
 'They kill them with their love',The Green Mile,Men In Black,My Cousin Vinny,Goodfellas
" 'You're the brother I never had. I'm the brother you never had. I would do anything for you, Dickie' 1999",The Talented Mr. Ripley,Batman,Spaceballs,Deliverance
" 'Oh, piss on your hat!'",A League of Their Own,Dangerous Liasions,The Princess Bride,Titanic
 1997 - 'I don't even have a picture of him. He exists only in my memory',Titanic,Reality Bites,Three Amigos,Sliding Doors
" 'Why, I guess you don't know everything about women yet'",The Empire Strikes Back,Breakfast Club,Volunteers,Little Shop of Horrors
 'That boy lives inside his own heart. That's an awful big place to be',Sling Blade,Batman Forever,Mrs Doubtfire,Jurassic Park
 1986 - 'Feed me!',Little Shop of Horrors,Legends of the Fall,Liar Liar,Lake Placid
" It lies to her. It tells her things only a child can understand. To her, it simply is another child. To us, it is The Beast",Poltergeist,Dracula,Thelma And Louise,Glory Daze
" 'Welcome to Earth, @#^!&",Independence Day,Back To The Future,Total Recall,Dracula
 1992 - 'There's no crying in baseball!',A League of Their Own,Dogma,American Beauty,Field of Dreams
" 'Lake, Big Lake'",Sixteen Candles,The Philadelphia Story,Playing By Heart,Sling Blade
 'I feel a hate crime coming on. ',Chasing Amy,2001 A Space Odyssey,The Rock,American History X
" 'Like the drink, but only spelled different'",The Green Mile,Good Will Hunting,Apocalypse Now,Dead Poet's Society
" 'Dozens of people are dying all the time, thousands, so why not mother'",Julian,Real Genius,Ghost,Godzilla
 'She just goes a little mad sometimes. We all go a little mad sometimes. Haven't you',Psycho,My Cousin Vinny,Aliens,It
 'I am the eyes and ears of this institution my friends',Breakfast Club,Spaceballs,Jurassic Park,"Six Days, Seven Nights"
" 'A flute without holes, is not a flute. A donut without a hole, is a danish'",Caddyshack,The Princess Bride,Dangerous Beauty,The Terminator
" 1999 - 'You're one to talk, you bloodless, moneygrubbing freak'",American Beauty,Three Amigos,Cool Hand Luke,Grease
" 'I'm taking you off the air, I think you're having a breakdown'",Network,Volunteers,Forrest Gump,Gone With The Wind
" 'Ooh, obscene finger gestures from such a pristine girl'",Breakfast Club,Mrs Doubtfire,Space Balls,Boogie Nights
 'Don't put your heel down..',Dirty Dancing,Liar Liar,Revenge of the Nerds,Can't Hardly Wait
 I think we need a bigger boat!,Jaws,Thelma And Louise,True Lies,My Cousin Vinny
 'She turned me into a newt!...I got better',Monty Python and the Holy Grail,Total Recall,Fight Club,Big Chill
 'Through dangers untold... and hardships unnumbered',Labyrinth,American Beauty,Tombstone,The Birdcage
" 'There is no way, ""NO"" way that you came from my loins. The first thing I'm gonna do when I get home is punch your momma in the mouth'",Smokey and the Bandit,Playing By Heart,Silence of the Lambs,The NeverEnding Story
 'I'm the King of the world!!!',Titanic,The Rock,Airplane,Star Wars: Episode I The Phantom Menace
" 'This compulsive fornicator is taking my father for the proverbial ""ride""'",The Big Lebowski,Apocalypse Now,Me Myself And Irene,Moonstruck
 'Weigh the anchor! How much did it weigh? I dunno... I forgot',Up In Smoke,Ghost,It,Apocalypse Now
 'Are you pondering what I'm pondering',Pinky and the Brain,Aliens,2001: A Space Odyssey,Breakfast Club
 'Instant gratification takes too long',Postcards From The Edge,Jurassic Park,The Sixth Sense,The Haunting
" Nick: 'Yeah, he has your tape'",Godzilla,Dangerous Beauty,Rocky,Terminator
" 'Here's five bucks, I don't plan on cleaning all week'",28 Days,Cool Hand Luke,Beavis And Butthead Do America,George of the Jungle
" 'You just shot an unarmed man! Well, he should have armed himself'",Unforgiven,Forrest Gump,Caddyshack,Point Break
" 'Sluggish, like a wet sponge'",Airplane!,Space Balls,Sleepless In Seattle,Back To School
 'Do I stutter',Breakfast Club,Revenge of the Nerds,Gone With The Wind,Tom Cruise
