Question,Answer,Wrong1,Wrong2,Wrong3
" This is the tiniest freeliving cells, are so small that a single drop of liquid may contain 50 million of them",Bacteria,Virus,Plankton,Spores
 This is what the filament in lightbulbs is made of,Tungsten,Carbon,Iron,Titanium
 Transfer of heat by moving molecules or larger particles is called,Convection,Radiation,Conduction,Diffusion
 What did Lewis E. Waterman invent in 1884,Fountain Pen,Ballpoint Pen,Number 2 Pencil,Gel Pen
 What is a meteor called after it has hit the ground,Meteorite,Meteor,Asteroid,Comet
 What is produced in the Bessemer process,Steel,Aluminium,Brass,Titanium
 What is the active ingredient in smelling salts,Ammonia,Chlorine,Bromide,Selenium
 What is the name of the instrument used for measuring humidity in the air,Hygrometer,Barometer,Thermometer,Tachometer
 What is the term for air moving in a spiral around a low pressure,Cyclone,Hurricane,Tornado,Dust Devil
 What term is applied to ethyl alcohol that has been treated with poison to make it unfit for human consumption,Denatured,Ethanol,Uncured,Unproofed
 Where would you find Mare Nectaris and Mare Crisium,Moon,Titan,Mars,Ganymede
 Which scientist was in charge of the Los Alamos atomic bomb project from 1943-45 (surname only),Oppenheimer,Einstein,Fermi,Bohm
 A research scientist is sometimes called this,Boffin,Cog,Coat,Understudy
 Cutting a diamond with this instrument forms graphite dust,LASER,Sand,Diamond,Carbide
 Dirty snow melts faster than white snow because it's,Darker,Heavier,Lighter,Smaller
" French Scientist Louis Pasteur tested his anti-rabies vaccine July 6, 1885 on a boy that had been bitten by this type of animal",Dog,Racoon,Squirrel,Wolf
 In the human body which protein forms nails and hair,Keratin,Carbon,Calcium,Whey
 In what science are monocotyledon and dicotyledon terms,Botany,Astrology,Cartography,Atronomy
 Liquid substance that dissolves or breaks down another substance into a more elementary form and is usually present in greater quantity than that substance,Solvent,Acid,Abrasive,Base
 Mitochondria provide the cell with,Energy,Oxygen,Nutrients,DNA
 Quinine is added to water to make _____,Tonic Water,Seltzer Water,Club Soda,Ammonium
" Spider, fiddler and horseshoe are all types of which creature",Crabs,Spiders,Mollusks,Lobsters
" The Nobel Prize for Medicine in 1962 was awarded to Dr. James Watson, Dr. Francis Crick and Dr. Maurice Wilkins who discovered the structure of what",DNA,RNA,Carbon,Bacteria
 This is the result of pollution of the atmosphere with oxides of nitrogen and sulphur from the burning of coal and oil,Acid Rain,Greenhouse Effect,Ozone Depletion,UV Leakage
" Under the surface of the Earth, hot molten rock rises, cools, then sinks. This process is called",Convection,Radiation,Conduction,Diffusion
 What are chunks of rocks of varied size in space called,Asteroids,Meteors,Comets,Planets
 What is another name for stored energy,Potential Energy,Kinetic Energy,Bound Energy,Consolidated Energy
 What is studied in the science of somatology,Human Body,Cells,Bacteria,Hair
 What is the alteration of iron-rich rocks or minerals into other substances due to oxygen,Oxidation,Calcification,Mineralization,Rustification
 What is the goal of the Artemis Society,Travel To The Moon,Travel To Mars,Travel To Venus,Travel To The Sun
 What is the smallest unit of matter that can take part in a chemical reaction,Atom,Quark,Electron,Mole
 What is the watery part of blood called,Serum,Plasma,Water,Liquid
 What is used to kill bacteria in water,Chlorine,Bromine,Floride,Calcium
 What metal has the highest melting point,Tungsten,Titanium,Carbon,Iron
 What percentage of a person's weight is the skeleton,10 Percent,5 Percent,7 Percent,15 Percent
 What poisonous gas is contained in the exhaust fumes from cars,Carbon Monoxide,Carbone Dioxide,Nitrous,Ammonium
 What type of lens is used in a magnifying glass,Convex,Concave,Radial,Transversal
 What was the name of the Apollo 11 Lunar Module,Eagle,Hawk,Nest,Vulture
 Which layer of the atmosphere contains the ozone layer,Stratosphere,Ionosphere,Mesosphere,Troposphere
 A substance that conducts very little electricity is known as,Insulator,Conductor,Conduit,Ground
 By what name is the disease Variola usually called,Smallpox,Black Plague,Malaria,Measels
 Cubic metres measure what,Volume,Mass,Desnity,Weight
" Forked, Sheet, and Ball are types of this",Lightning,Rock,Cloud,Ice
" Granny Smith, James Grieve and Egremont Russet are all types of which fruit",Apple,Potato,Tomato,Grape
" Peat, lignite and bituminous are types of _____",Coal,Moss,Wood,Oil
" What are Cirrus, Cumulus and Cirrostratus",Clouds,Rocks,Snow,Rain
 What do we measure in nits,Brightness,Saturation,Color,Glare
 What is formed when carbon is compressed slightly less than the pressure required to create diamond,Graphite,Graphene,Coal,Carbide
 What was Thomas Edison's middle name,Alva,John,Tucker,Franklin
" Work done, equals force multiplied by this",Distance,Speed,Acceleration,Friction
" In a microwave oven, microwaves are produced when electricity passes through a device called a(n) _____",Magnetron,Cyclotron,Microtron,Alternator
 The device used to measure distance travelled,Odometer,Tachomter,Spedometer,Accelerometer
" The third most common element in the atmosphere, behind nitrogen and oxygen",Argon,Hydrogen,Helium,Xenon
 What colour is the Hope Diamond,Blue,Pink,Red,Green
 What colour would a pair of red shoes appear in blue light,Black,White,blue,Yellow
