Question,Answer,Wrong1,Wrong2,Wrong3
What is located immediately due east of Canada's Baffin Island?,Greenland,Iceland,Mexico,USA
"Generally the greater the wind speed, the cooler you feel; this is referred to as what?",The wind chill factor,The transpiration factor,The cold air factor,The evaporation factor
What makes a pine cone open and close?,Humidity,Temperature,Light,Atmospheric pressure
What is the essential ingredient for a blizzard?,Snow,Rain,Hail,Fog
The tropic of Cancer is where?,North of the Equator,South of the Equator,On the Equator,Both sides of the Equator
What term is used to describe a map-maker?,Cartographer,Geographer,Geomorphologist,Lexicographer
What geographic feature causes the formation of a U-shaped valley?,Glacier,Strong offshore current,Swift-flowing river,"Warm, dry wind"
How is the line of zero degrees longitude commonly known?,Greenwich Meridian,Arctic Circle,Equator,Tropic Of Cancer
"""Nimbus"", launched in 1964, was the world's first what?",Weather satellite,Alpine photography service,In-car satellite navigation device,Rain gauge
What do we call accumulations of sand grains shaped into mounds?,Sand dunes,Sand banks,Sand drifts,Sand ridges
"Geographically, what are ""Eurasian"", ""Philippine Sea"" and ""Indian-Australian""?",Tectonic plates,Series of fault lines,Warm ocean streams,Weather systems
What lines on maps join points of similar height?,Contour lines,Bridle paths,Grid references,Isobars
What stretch of a river is the final stage before reaching the river mouth?,Estuary,Channel,Delta,Tributary
What percentage of the earth's land area is represented by Asia?,30 per cent,3 per cent,7 per cent,70 per cent
What is the capital city of South Korea?,Seoul,Phnom Penh,Tokyo,Vientiane
Which Commonwealth country lies off the south east coast of India?,Sri Lanka,Bangladesh,Malaysia,Pakistan
Which Asian country includes the island of Sumatra?,Indonesia,Japan,Myanmar,North Korea
"Which Asian country has borders with Russia, Vietnam and North Korea?",China,Bhutan,Japan,Papua New Guinea
"Which Asian sea is located between China, Philippines, Malaysia and Vietnam?",South China Sea,Andaman Sea,Bay Of Bengal,Sea Of Okhotsk
In which continent is the Atacama Desert?,South America,Asia,Europe,North America
Which is the smallest state in the USA?,Rhode Island,Idaho,New Jersey,Vermont
Which two countries make up the Iberian peninsula?,Portugal and Spain,Argentina and Chile,Greece and Turkey,Norway and Sweden
The Sargasso Sea is part of which ocean?,Atlantic,Arctic,Indian,Pacific
Las Ramblas is a popular tourist area in which Spanish city?,Barcelona,Granada,Seville,Valencia
What is the official language of Brazil?,Portuguese,Brazilian,French,Spanish
Rabat is the capital of which African country?,Morocco,Algeria,Libya,Tunisia
The remains of the ancient city of Babylon can be found in which modern country?,Iraq,Iran,Israel,Jordan
In which country is Fiordland National Park?,New Zealand,Finland,Norway,Sweden
The River Rhone rises in which country?,Switzerland,Austria,France,Germany
Monte Toro is the highest point on which of the Balearic Islands?,Minorca,Ibiza,Formentera,Majorca
Paramaribo is the capital of which South American country?,Suriname,Guyana,Peru,Venezuala
Which US city is served by Logan International Airport?,Boston,Chicago,Philadelphia,San Francisco
The Australian city of Melbourne stands on which river?,Yarra,Darling,Murray,Swan
The North Sea island of Norderney belongs to which country?,Germany,Belgium,Denmark,Holland
"In Paris, what are George V, Argentine and Concorde?",Metro stations,Hotels,Parks,Theatres
Which of the Great Lakes is wholly within the USA?,Michigan,Huron,Ontario,Superior
Which mountain range extends from Newfoundland to Alabama?,Appalachian Mountains,Ouachita Mountains,Ozark Plateau,Rocky Mountains
Which Californian city of over 1.2 million people is close to Tijuana in Mexico?,San Diego,San Francisco,San Jose,Santa Barbara
Which is the longest river in Canada?,Mackenzie,Fraser,St. Lawrence,Yukon
On which island is the New York borough of Brooklyn?,Long Island,Ellis Island,Manhattan,Staten Island
Which is the most southerly state capital in the USA?,Honolulu,Austin,Baton Rouge,Tallahassee
"Paramount, Hawthorne and Burbank are districts of which American metropolis?",Los Angeles,Houston,Pittsburgh,Seattle
What is the capital of the Canadian state of Alberta?,Edmonton,Calgary,Regina,Winnipeg
"Apart from District of Columbia, which state in the USA has the smallest population?",Wyoming,Idaho,New Mexico,Rhode Island
Dorchester Bay is near to which major American city?,Boston,Baltimore,Buffalo,New Orleans
"Which American state was home to the Hopi, a group of Pueblo Indians?",Arizona,Nevada,New Mexico,Utah
"Which Texan city had an estimated population of 1,214,725 in 2003?",San Antonio,Austin,Dallas,Fort Worth
"Which is the only American state capital beginning with the letter ""F""?",Frankfort,Fort Worth,Fargo,Fresno
In which part of Canada is the Great Slave Lake located?,Northwest Territories,British Columbia,Nunavut,Yukon Territory
Which of these American states is the largest?,Idaho,Illinois,Indiana,Iowa
